232	0
703	0
1067	0
1548	0
2062	0
2842	0
3543	0
4020	0
4255	0
4732	0
415	1
709	1
969	1
1653	1
1868	1
2165	1
2551	1
2776	1
3083	1
3500	1
3678	1
3955	1
4454	1
4718	1
1007	2
1697	2
1980	2
2426	2
3211	2
3550	2
4053	2
4587	2
4894	2
720	3
1604	3
1934	3
2385	3
2735	3
3064	3
3430	3
4299	3
4807	3
678	4
1033	4
1421	4
1949	4
2423	4
3682	4
4000	4
4398	4
4774	4
365	5
711	5
1188	5
1896	5
2295	5
2592	5
3026	5
3326	5
3768	5
4147	5
4662	5
899	6
1505	6
1923	6
2557	6
3606	6
4075	6
4375	6
4641	6
716	7
1145	7
1456	7
2186	7
2597	7
2981	7
3485	7
4381	7
4685	7
342	8
720	8
1118	8
1868	8
2180	8
2369	8
2720	8
2975	8
3560	8
4173	8
4611	8
4945	8
766	9
1050	9
1597	9
1920	9
2508	9
2763	9
3062	9
3378	9
3837	9
4826	9
308	10
609	10
837	10
1392	10
1949	10
2738	10
3002	10
3422	10
3938	10
4237	10
4511	10
667	11
939	11
1338	11
1901	11
2564	11
2945	11
3385	11
3669	11
4036	11
4280	11
4672	11
4985	11
257	12
691	12
1007	12
1567	12
1860	12
2278	12
3343	12
3839	12
4266	12
4433	12
4753	12
4982	12
327	13
870	13
1209	13
1539	13
1916	13
2719	13
3117	13
4244	13
4743	13
351	14
848	14
1660	14
2057	14
2508	14
3484	14
3710	14
3868	14
4385	14
4677	14
692	15
1230	15
1553	15
1893	15
2260	15
2489	15
3029	15
3489	15
3677	15
4149	15
4484	15
342	16
688	16
1086	16
1518	16
1878	16
2174	16
2447	16
2625	16
3021	16
3319	16
3697	16
4360	16
4640	16
4932	16
371	17
754	17
1020	17
1473	17
1838	17
2653	17
3174	17
3615	17
4071	17
4649	17
4929	17
977	18
1374	18
1800	18
2173	18
2662	18
2965	18
3264	18
3594	18
4037	18
4269	18
4698	18
456	19
925	19
1453	19
1779	19
2714	19
3032	19
3264	19
4155	19
4463	19
4836	19
545	20
729	20
1141	20
1450	20
1902	20
2189	20
2494	20
2862	20
3727	20
4177	20
4502	20
399	21
1368	21
1676	21
1976	21
2480	21
2771	21
3186	21
3530	21
4100	21
4329	21
4651	21
524	22
824	22
1122	22
1560	22
1926	22
2223	22
2772	22
3564	22
3906	22
4287	22
4499	22
290	23
685	23
995	23
1491	23
2139	23
2626	23
2799	23
3139	23
3325	23
3732	23
4412	23
828	24
1460	24
1706	24
2212	24
2403	24
2813	24
3259	24
3841	24
4167	24
4610	24
4855	24
638	25
1038	25
1388	25
1560	25
2076	25
2340	25
2584	25
3160	25
3514	25
3694	25
4177	25
4602	25
273	26
840	26
1046	26
1518	26
1861	26
2424	26
2802	26
3231	26
3574	26
4391	26
4654	26
4936	26
755	27
1070	27
1589	27
2102	27
2710	27
3166	27
3558	27
3841	27
4428	27
4659	27
4942	27
449	28
738	28
1014	28
1480	28
1630	28
2531	28
2900	28
3571	28
3730	28
4141	28
4412	28
293	29
580	29
907	29
1121	29
1443	29
1870	29
2454	29
2762	29
3778	29
4171	29
4645	29
4967	29
390	30
705	30
1278	30
1616	30
1935	30
2358	30
2765	30
3265	30
3864	30
4599	30
4848	30
232	31
684	31
1073	31
1561	31
1834	31
2244	31
2464	31
2910	31
3328	31
3778	31
4216	31
4658	31
439	32
991	32
1349	32
1791	32
2450	32
3368	32
4146	32
4765	32
327	33
1492	33
2142	33
2464	33
2784	33
2979	33
3304	33
3635	33
3886	33
4455	33
4818	33
399	34
705	34
1177	34
1378	34
1948	34
2361	34
2802	34
3163	34
4000	34
4398	34
4889	34
270	35
1140	35
1441	35
1974	35
2283	35
2745	35
3171	35
3428	35
4017	35
4475	35
4950	35
324	36
545	36
1073	36
1389	36
2064	36
2622	36
2877	36
3539	36
3851	36
4254	36
4788	36
255	37
